annotator,method,topic,f1,kappa,precision,recall,tp,fp,fn,tn
annotator_3,Supervised (CV),Policing/Public Safety,0.5,0.446,0.3333,1.0,13,26,0,161
annotator_3,Supervised (CV),Voter Suppression,0.2857,0.2685,0.1818,0.6667,2,9,1,188
annotator_3,Supervised (CV),Book Bans/Anti-DEI,0.0,-0.0081,0.0,0.0,0,1,4,195
annotator_3,Supervised (CV),Housing/Displacement,0.4138,0.375,0.3,0.6667,6,14,3,177
annotator_3,Supervised (CV),Maternal Health,0.75,0.7449,0.75,0.75,3,1,1,195
annotator_3,Supervised (CV),Redlining/Fair Housing,0.0,0.0,0.0,0.0,0,6,0,194
annotator_3,Supervised (CV),Anti-Black Surveillance,0.0,0.0,0.0,0.0,0,1,0,199
annotator_3,Supervised (CV),Reparations,0.0,0.0,0.0,0.0,0,4,0,196
annotator_3,Supervised (CV),School Funding,0.5,0.4885,0.3333,1.0,3,6,0,191
annotator_3,Supervised (CV),Criminal Justice Reform,0.4286,0.3939,0.3,0.75,6,14,2,178
annotator_3,Supervised (CV),Environmental Justice,0.4167,0.3862,0.2941,0.7143,5,12,2,181
annotator_3,Supervised (CV),Economic Equity/Wealth Gap,0.6186,0.5189,0.4478,1.0,30,37,0,133
annotator_1,Supervised (CV),Policing/Public Safety,0.5,0.4547,0.6923,0.3913,9,4,14,173
annotator_1,Supervised (CV),Voter Suppression,0.4444,0.4236,0.8,0.3077,4,1,9,186
annotator_1,Supervised (CV),Book Bans/Anti-DEI,0.1667,0.1438,0.125,0.25,1,7,3,189
annotator_1,Supervised (CV),Housing/Displacement,0.56,0.5311,0.6364,0.5,7,4,7,182
annotator_1,Supervised (CV),Maternal Health,0.3333,0.3243,0.5,0.25,1,1,3,195
annotator_1,Supervised (CV),Redlining/Fair Housing,0.0,0.0,0.0,0.0,0,0,5,195
annotator_1,Supervised (CV),Anti-Black Surveillance,0.0,0.0,0.0,0.0,0,0,3,197
annotator_1,Supervised (CV),Reparations,0.0,0.0,0.0,0.0,0,0,5,195
annotator_1,Supervised (CV),School Funding,0.3636,0.3317,0.2667,0.5714,4,11,3,182
annotator_1,Supervised (CV),Criminal Justice Reform,0.5882,0.5706,0.5,0.7143,5,5,2,188
annotator_1,Supervised (CV),Environmental Justice,0.4444,0.4266,1.0,0.2857,4,0,10,186
annotator_1,Supervised (CV),Economic Equity/Wealth Gap,0.4225,0.3135,0.625,0.3191,15,9,32,144
