title,description,source,date_of_publication,category,author,link
"What You Need To Know About Bill Bray, The Security Guard Who Was Like a Father to Michael Jackson","Since the release of “Michael,” fans are learning more about his longtime security guard, Bill Bray. Here’s what you need to know about their close bond.",theroot.com,2026-04-26,Entertainment,Mahalia Otshudy,https://www.theroot.com/what-you-need-to-know-about-bill-bray-the-security-gua-2000101940
Megan Thee Stallion Announces Her Ugly Split With Klay Thompson,“Hot Girl Meg” took to social media to announce that she and the Dallas Mavericks guard are no longer an item.,theroot.com,2026-04-26,News,Rashad Grove,https://www.theroot.com/megan-thee-stallion-announces-her-ugly-split-with-klay-2000101921
"‘Lemonade’ 10 Years Later: What Beyoncé Taught Us About Love, Rage, Family and Womanhood","As Lemonade celebrates its 10 year anniversary this week, let’s take a look back on the enormous musical gift Beyoncé gave us and what all we learned through it!",theroot.com,2026-04-25,Entertainment,Shanelle Genai,https://www.theroot.com/lemonade-10-years-later-what-beyonc-taught-us-about-l-2000101801
Jermaine Jackson Could Be Forced to Pay More Than $6 Million in Shocking Lawsuit,"Just as his son Jaafar is in the news for something positive, Jermaine Jackson is sadly trending for a whole other, shocking reason.",theroot.com,2026-04-25,Entertainment,Shanelle Genai,https://www.theroot.com/jermaine-jackson-could-be-forced-to-pay-more-than-6-mi-2000101891
Why The Return of Firing Squads Just Made Death Row More Dangerous Than Ever for Black Americans,"After the DOJ released a memo to bring back firing squads as a form of capital punishment, Black inmates on death row are especially at risk.",theroot.com,2026-04-25,Criminal Justice,Phenix S Halley,https://www.theroot.com/why-the-return-of-firing-squads-just-made-death-row-mor-2000101879
The Strange Marriage Between Michael Jackson and Lisa Marie Presley,"Michael Jackson and Lisa Marie Presley’s marriage only lasted two years, but it was one of the most high-profile couplings in history. We’re taking you inside their love story.",theroot.com,2026-04-25,Music,Angela Johnson,https://www.theroot.com/the-strange-marriage-between-michael-jackson-and-lisa-m-2000069385
"Celebs, Fans React to New Michael Jackson Movie—And They Can’t Get Enough!","Celebrities, family members and fans are sharing their reactions to the “Michael” biopic.",theroot.com,2026-04-25,Entertainment,Shanelle Genai,https://www.theroot.com/celebs-fans-react-to-new-michael-jackson-movie-and-the-2000101749
Game Changers: Top Highest-Earning Black Media Personalities in Sports,"In 2026, Black media personalities are changing the game with lucrative deals in the world of sports.",theroot.com,2026-04-25,Sports,Rashad Grove,https://www.theroot.com/game-changers-top-highest-earning-black-media-personal-2000101870
Experts: Trump’s Impact on Media Has Caused Damage That’ll Endure For Years,The Root speaks to experts on how Trump’s tense relationship with American media has worked in his favor… for now.,theroot.com,2026-04-25,News,Phenix S Halley,https://www.theroot.com/experts-trumps-impact-on-media-has-caused-damage-thatl-2000083100
Bridgette Bartlett Royall Archives | Essence,,essence.com,2026-04-25,Authors,,https://www.essence.com/authors/bridgette-bartlett-royall-0/
"Everything You Need to Watch, Listen To Before You See the New Michael Jackson Movie",Consider this your “Michael” pre-viewing and listening syllabus! Don’t stop ’til you get enough!,theroot.com,2026-04-25,Entertainment,Shanelle Genai,https://www.theroot.com/everything-you-need-to-watch-listen-to-before-you-see-2000100552
Here’s a Full Timeline on How Nicki Minaj Slowly Turned MAGA,"For everyone confused by why Nicki Minaj is now supporting MAGA and Trump, here’s a full breakdown of the madness.",theroot.com,2026-04-25,Entertainment,Phenix S Halley,https://www.theroot.com/heres-a-full-timeline-on-how-nicki-minaj-slowly-turned-2000073669
The Best in Black Fashion From the Time 100 Gala Red Carpet,"Sterling K. Brown, Keke Palmer and Anok Yai were among the stars who dressed to impress at the Time 100 Gala.",theroot.com,2026-04-25,Culture,B.Kadijat Towolawi,https://www.theroot.com/the-best-in-black-fashion-from-the-time-100-gala-red-ca-2000101691
Expert On Why The Mental Load of Infertility Hits Black Women So Hard (and What Can Help),"Infertility’s cycle of hope and disappointment is emotionally exhausting, severely impacting mental health. For Black women, this burden is amplified by systemic and cultural pressures, but regaining control is possible.",theroot.com,2026-04-25,Black Maternal Healthcare,Shellie M. Scott,https://www.theroot.com/expert-on-why-the-mental-load-of-infertility-hits-black-2000101384
Why Are Black Women Always The 'Weakest Link' In Girl Groups?,"For many fans, this feels like a recurring story where the Black girl in the group is often hyper-visible and invisible at the same time.",newsone.com,2026-04-25,Bison One Newsroom,,https://newsone.com/6858291/manon-katseye-black-women-girl-groups/
Megan Thee Stallion confirms split with Klay Thompson after cheating allegations: ‘I need a REAL break’,"Megan Thee Stallion is done with Klay Thompson. The rapper took to her Instagram Stories to confirm the split, alleging he cheated.",thegrio.com,2026-04-25,Entertainment,Brandon Caldwell,https://thegrio.com/2026/04/25/megan-thee-stallion-klay-thompson-breakup/
Legacy Takes Flight: Inside Dance Theatre of Harlem’s Vision Gala,"It was one of the most anticipated arrivals in recent years, and the spirits of dance legends Arthur Mitchell and Geoffrey Holder were felt throughout New York City Center. Firebird, the visionary ballet choreographed by John Taras with costumes and scenic designs created by Holder, made a triumphant return to Dance Theatre of Harlem’s 57th […]",ebony.com,2026-04-25,Culture,,https://www.ebony.com/legacy-takes-flight-inside-dance-theatre-of-harlems-vision-gala/
"A Look Inside Beyoncé’s Childhood Home, Now on the Market","As Beyoncé’s childhood home in Houston hits the market, we’re giving you a closer look at the house where the Knowles family lived for years.",theroot.com,2026-04-25,Entertainment,Phenix S Halley,https://www.theroot.com/a-look-inside-beyonc-s-childhood-home-now-on-the-mark-2000101729
Trump evacuated from White House Correspondents’ Dinner after shooting,President Donald Trump was unarmed and confirmed that United States Secret Service had a shooter in its custody.,thegrio.com,2026-04-25,Politics,Gerren Keith Gaynor,https://thegrio.com/2026/04/25/trump-evacuated-from-white-house-correspondents-dinner-after-shooting/
Tyler Perry’s ‘The Oval’ season 7 vanishes from Paramount Plus days after surprise drop,"Tyler Perry’s “The Oval” season 7 appeared on Paramount+ without warning, then vanished days later, leaving fans confused.",thegrio.com,2026-04-25,Entertainment,Bobby Pen,https://thegrio.com/2026/04/25/the-oval-season-7-paramount-plus-disappears/
"Citing ‘disfavored’ white men, DeSantis signs law eliminating local DEI programs in Florida","Legislation that would eliminate DEI programs in the state of Florida has been signed into law by Gov. Ron DeSantis, saying DEI has 'disfavored' white males.",thegrio.com,2026-04-25,Politics,Brandon Caldwell,https://thegrio.com/2026/04/25/ron-desantis-signs-new-dei-law-florida/
Black excellence and bold fashion take center stage at the 2026 TIME100 Gala,"Keke Palmer, Coco Jones and Anok Yai led the style conversation at the 2026 TIME100 Gala, where Black excellence and bold fashion took center stage.",thegrio.com,2026-04-25,Lifestyle,Bobby Pen,https://thegrio.com/2026/04/25/time100-gala-2026-black-celebrities-fashion/
"Despite mixed reviews, ‘Michael’ on track to smash box office records",The Michael Jackson biopic was expected to reset the record book for music biopics. Now it could shatter the previous mark by millions.,thegrio.com,2026-04-25,Entertainment,Brandon Caldwell,https://thegrio.com/2026/04/25/michael-biopic-early-box-office-estimates/
Warner Bros. Discovery’s Shareholders Approve $110B Merger With Paramount,"Warner Bros. Discovery’s shareholders have approved a merger with Paramount Skydance Corp. As AFROTECH™ previously told you, a bidding war had been underway for Warner Bros. Discovery to merge with either Paramount or Netflix late last year. Initially, Netflix, which offered a deal with a total enterprise value of approximately $82.7 billion (equity value of $72.0 billion),… Continue reading Warner Bros. Discovery’s Shareholders Approve $110B Merger With Paramount",afrotech.com,2026-04-25,Technology,Samantha Dorisca,https://afrotech.com/warner-bros-discoverys-shareholder-approve-merger-with-paramount
Our Favorite Red Carpet Looks From The Time 100 Gala | Essence,"From Anok Yai to Lala Anthony, the stars walked the red carpet in chic fashion to celebrate their influence at the TIME100 Gala.",essence.com,2026-04-24,Fashion,By Mecca Pryor,https://www.essence.com/fashion/best-red-carpet-looks-time-100-gala/
How To ‘Clock It’: Durand Bernarr Corrects the Viral Trend,"As it turns out, we’ve all been demonstrating the phrase “clock it,” in the wrong way. And Durand Bernarr is finally bringing forth some correction!",theroot.com,2026-04-24,Entertainment,Shanelle Genai,https://www.theroot.com/how-to-clock-it-durand-bernarr-corrects-the-viral-tr-2000101660
Trump Issues ‘Shoot And Kill’ Order For Mining Boats In Strait Of Hormuz,"The Strait of Hormuz has been a focal point during the ongoing war in Iran, with the U.S. Navy currently blockading entry to the port.",newsone.com,2026-04-24,Politics,,https://newsone.com/6858286/trump-strait-of-hormuz-shoot-kill-order/
April Has Been A Horrible Month For Black Children,"April is supposed to be about child abuse prevention, protecting the most vulnerable, and catching harm before it reaches a child’s body.",newsone.com,2026-04-24,News,,https://newsone.com/6858300/april-child-abuse-prevention-month-black-children/
Nini Coco On ‘Drag Race’ Finale Lip Sync And Her Difficult Storyline: ‘Blame It On The Edit’,"Nini Coco made it all the way to the end of RuPaul’s Drag Race Season 18, ending her run as the season’s runner-up. Blavity was on hand to speak with her about her time on the show and what she made of her final lip sync and that “catty” edit. Coco said that she’s “relieved”… Continue reading Nini Coco On ‘Drag Race’ Finale Lip Sync And Her Difficult Storyline: ‘Blame It On The Edit’",blavity.com,2026-04-24,Entertainment,Monique Jones,https://blavity.com/nini-coco-on-drag-race-finale-lip-sync-and-storyline
"No, Michael Jackson’s Allegations Aren’t In the New Movie, Here’s Why","Now that critics and audiences are starting to see ‘Michael,’ many are wondering why the most controversial part of his life isn’t depicted. We have the answers.",theroot.com,2026-04-24,Entertainment,Shanelle Genai,https://www.theroot.com/no-michael-jacksons-allegations-arent-in-the-new-movie-2000101616
7 Things You Won’t See In The New Michael Jackson Movie,‘Michael’ arrives on April 24—but don’t expect these storylines to make the final cut!,theroot.com,2026-04-24,Entertainment,Shanelle Genai,https://www.theroot.com/7-things-you-wont-see-in-the-new-michael-jackson-movie-2000100655
All The Best Black Fashion At The NFL Draft,Here are some of the best fashion looks we saw at the NFL draft on Thursday night.,theroot.com,2026-04-24,Beauty + Style,Mahalia Otshudy,https://www.theroot.com/all-the-best-black-fashion-at-the-nfl-draft-2000101632
Sherrone Moore’s Ex-Assistant Drops Bombshell Accusations About Their Secret Affair,"In a tearful interview, former Michigan coach’s alleged mistress Paige Shiver just pulled back the curtain on their relationship with bombshell claims.",theroot.com,2026-04-24,News,Angela Wilson,https://www.theroot.com/sherrone-moore-s-ex-assistant-drops-bombshell-accusatio-2000101649
Online Erupts in Support as Black Senators Hold RFK Jr.’s Feet to the Fire,"RFK Jr. faced harsh questioning from Black members of Congress, and better believe Black folks on social media had a field day!",theroot.com,2026-04-24,Entertainment,Phenix S Halley,https://www.theroot.com/online-erupts-in-support-as-black-senators-hold-rfk-jr-2000101640
‘RuPaul’s Drag Race All Stars’ Season 11 Queens To Go Behind The Scenes In WOW Presents Plus’ ‘My Untucked Life’,"Nine queens from RuPaul’s Drag Race All Stars Season 11 are set to be highlighted in the new season of WOW Presents Plus’s My Untucked Life, and Blavity’s Shadow and Act has the first trailer for its exclusive debut. The nine queens showcased in the season will be Dawn, Morphine Love Dion, Mystique Summers Madison,… Continue reading ‘RuPaul’s Drag Race All Stars’ Season 11 Queens To Go Behind The Scenes In WOW Presents Plus’ ‘My Untucked Life’",blavity.com,2026-04-24,Entertainment,Trey Mangum,https://blavity.com/drag-race-all-stars-11-my-untucked-life
A No-Holds-Barred Mentorship Reality Check for Gen Z,"It’s the wake-up call Gen Z needs, but probably doesn’t want to hear about what mentorship really is, what it’s not, and more importantly, why you need it.",theroot.com,2026-04-24,Culture,Angela Wilson,https://www.theroot.com/a-no-holds-barred-mentorship-reality-check-for-gen-z-2000101751
