title,description,source,date_of_publication,category,author,link
‘A Fight Ahead’: Black Voters Face Fallout From U.S. Supreme Court Decision,"Advocates say that the decision could ramp up efforts to dismantle majority-Black congressional districts, reshaping political power for years to come.",capitalbnews.org,2026-04-30,Elections,Brandon Tensley,https://capitalbnews.org/supreme-court-voting-rights-act-black-voters/
"After 8 Children Die, Survivors Reveal How Louisiana Normalizes Partner Violence","A mass shooting in Shreveport's Cedar Grove neighborhood reveals how poverty, policing, and guns combine to trap Black families with abusers.",capitalbnews.org,2026-04-30,Gun Violence,Adam Mahoney,https://capitalbnews.org/shreveport-louisiana-domestic-violence-culture/
Supreme Court Ruling Threatens Black Voting Power Beyond Louisiana,"Wednesday’s decision struck down a district in the Bayou State, finding that the map “is an unconstitutional gerrymander.”",capitalbnews.org,2026-04-29,News,Brandon Tensley,https://capitalbnews.org/louisiana-v-callais-supreme-court-majority-black-district/
"For 35 Years, This Black Town in Illinois Has Been Told Its Sewage Crisis Isn’t Real",Residents proved their tap water carries sewage and bacteria. Federal funding dried up anyway.,capitalbnews.org,2026-04-28,Politics & Policy,Adam Mahoney,https://capitalbnews.org/cahokia-heights-water-crisis-sewage-tap-water/
Black Farmers Aren’t Waiting on Washington to Save Them,"In rural America, growers are gathering for community while building partnerships to expand their operations.",capitalbnews.org,2026-04-27,Black Farmers,Aallyah Wright,https://capitalbnews.org/black-farmers-usda-cuts-community-support/
What Recent Killings of Black Women Reveal About a Growing Crisis,The deaths of Cerina Fairfax and Nancy Metayer Bowen point to an epidemic that has persisted for decades.,capitalbnews.org,2026-04-27,Criminal Justice,Jonathan Franklin,https://capitalbnews.org/black-women-domestic-violence-crisis/
Black Teens Called ‘Radioactive’ as D.C. Cuts Programs Meant to Help Them,"As the City Council votes to advance a permanent youth curfew, advocates say the real problem isn’t being addressed.",capitalbnews.org,2026-04-24,Culture,Alecia Taylor,https://capitalbnews.org/dc-youth-curfew-teen-takeover/
"Virginia’s Redistricting Vote Was About Representation, Power, and History","After weeks of wall-to-wall campaigning, Virginians approved a new House map — but now it faces a legal hurdle.",capitalbnews.org,2026-04-23,Elections,Brandon Tensley,https://capitalbnews.org/virginia-redistricting-vote-black-political-power/
Atlanta’s ‘Cop City’ Makes a Black Neighborhood a Testing Lab for AI Policing,"In America’s most surveilled city, a community loses forest land and gains a network of AI-enabled cameras.",capitalbnews.org,2026-04-22,Climate Change,"Adam Mahoney, Madeline Thigpen",https://capitalbnews.org/atlanta-cop-city-ai-policing-black-community/
A Sudden Resignation Leaves Florida’s Blackest Congressional District in Limbo,U.S. Rep. Sheila Cherfilus-McCormick represented Florida’s 20th Congressional District since 2022 and stepped down amid an ethics investigation.,capitalbnews.org,2026-04-21,News,Brandon Tensley,https://capitalbnews.org/a-sudden-resignation-leaves-floridas-blackest-congressional-district-in-limbo/
Shreveport Mass Shooting of 8 Children Exposes Toll of Domestic Violence,"A 31-year-old father killed the children in a domestic violence rampage, revealing deep gaps in mental health care and gun violence in Louisiana.",capitalbnews.org,2026-04-20,Gun Violence,Adam Mahoney,https://capitalbnews.org/shreveport-domestic-rampage-kills-8/
"In New Orleans, Black Cowboy Tradition Collides With Prison Rodeo Spectacle","As Angola’s prison rodeo debuts in the Superdome, Black riders in the city fight to preserve a tradition free from cages, cotton, and coerced labor.",capitalbnews.org,2026-04-17,History,Adam Mahoney,https://capitalbnews.org/angola-prison-rodeo-new-orleans-black-cowboys/
Trump’s Clash With the Pope Is Raising Alarm in Black Churches,"“We serve a God who believes in peace and love, but you have an administration pushing war and hate,” a Chicago faith leader says.",capitalbnews.org,2026-04-16,Politics & Policy,Brandon Tensley,https://capitalbnews.org/black-faith-leaders-trump-pope-leo/
"Justin Fairfax, Once a Rising Political Star, Kills Wife in Murder-Suicide","The investigation is ongoing, but authorities say the shooting seems to be related to a “complicated or messy divorce.”",capitalbnews.org,2026-04-16,Criminal Justice,Brandon Tensley,https://capitalbnews.org/who-is-justin-fairfax-virginia-shooting/
"In Rural Mississippi, a Black Town Bets on New Homes to Build Wealth","In Jonestown, an all-Black town, elders are helping to build housing and youth activities, but want more community support.",capitalbnews.org,2026-04-15,Economic Development,Aallyah Wright,https://capitalbnews.org/jonestown-mississippi-new-home-development-challenges/
Railroad Wins Appeal to Take Generations-Old Land in Rural Georgia,Residents in Sparta have been fighting for years to protect their property from being seized through eminent domain.,capitalbnews.org,2026-04-15,Economic Development,Aallyah Wright,https://capitalbnews.org/georgia-court-sparta-railroad-land-seizure/
Residents Say Musk’s AI Supercomputer Is a ‘Death Sentence’ for Memphis Communities,"A federal lawsuit claims xAI secretly fired up dozens of gas turbines, pumping smog and cancer‑linked chemicals into Black neighborhoods to fuel its growth.",capitalbnews.org,2026-04-15,Environmental Justice,Adam Mahoney,https://capitalbnews.org/elon-musk-xai-naacp-black-neighborhoods-pollution/
Louisiana Might Eliminate This Black Elected Official’s Job Before He Can Start It,Calvin Duncan had been sentenced to life behind bars before he was exonerated and won a position that would allow him to tackle criminal justice reform.,capitalbnews.org,2026-04-14,Politics & Policy,Brandon Tensley,https://capitalbnews.org/calvin-duncan-new-orleans-criminal-district-clerk/
