title,description,source,date_of_publication,category,author,link
"Nolan Wells Case: Audio Review, Tech Subpoenas Mark Latest Developments As Reward Hits $225,000","The investigation into Nolan Wells‘ death had several developments this week as his family subpoenaed social media records, hired experts to analyze a July 4 distress call and saw the reward in the case increase to $225,000. Family expands investigation with audio review On Thursday, the civil rights attorney Ben Crump spoke at the National… Continue reading Nolan Wells Case: Audio Review, Tech Subpoenas Mark Latest Developments As Reward Hits $225,000",blavity.com,2026-07-31,News,Jahaura Michelle,https://blavity.com/nolan-wells-case-audio-review-tech-subpoenas
Body Camera Footage Clears Black Teen Of Attempted Murder — Now He’s Suing Indianapolis And An Officer,"An 18-year-old has filed a lawsuit against the City of Indianapolis and an IMPD officer after being cleared of felony charges alleging he pointed a gun at police. Details on the lawsuit and what Dailen Brewer was charged with Dailen Brewer, represented by his attorney Terrance Kinnard, filed the complaint on July 20 in the… Continue reading Body Camera Footage Clears Black Teen Of Attempted Murder — Now He’s Suing Indianapolis And An Officer",blavity.com,2026-07-31,News,Jahaura Michelle,https://blavity.com/body-camera-footage-clears-dailen-brewer
"Family Of Juliana Umba Nzita, Found Hanged In Charlotte, Is Demanding An Autopsy After Suicide Ruling","Community leaders in Charlotte, North Carolina are demanding justice for Juliana Umba Nzita, a 16-year-old girl who was found hanged near a church in May.",blavity.com,2026-07-31,News,Tomas Kassahun,https://blavity.com/family-of-juliana-umba-nzita-found-hanged-in-charlotte-is-demanding-an-autopsy
US State Department Ripped After Mislabeling Every Country On Africa Map In Presentation At AIDS Conference,"The Trump administration is being criticized after the U.S. Department of State presented a laughably incorrect map of Africa at a major international conference. The blunder, in which every country presented was mislabeled and incorrectly drawn, is an embarrassing moment for the U.S. government, and it highlights the extent to which the administration has both… Continue reading US State Department Ripped After Mislabeling Every Country On Africa Map In Presentation At AIDS Conference",blavity.com,2026-07-31,Politics,Christopher Rhodes,https://blavity.com/state-department-mislabeled-every-country-in-africa-at-conference
"21 Savage’s Family Urges Action On Illegal Gun Sales After Nephew’s Death, Niece’s Shooting","Atlanta rapper 21 Savage and his family are mourning the loss of his teenage nephew, who died by suicide after accidentally shooting his sister at their Georgia home. How the family tragedy unfolded, leaving one sibling dead and another hospitalized According to the family, Seven Shirley, 14, accidentally shot his 12-year-old sister Lyric in the… Continue reading 21 Savage’s Family Urges Action On Illegal Gun Sales After Nephew’s Death, Niece’s Shooting",blavity.com,2026-07-31,News,Jahaura Michelle,https://blavity.com/21-savages-family-urges-action-on-illegal-gun-sales
Anthony Fauci Pleads The Fifth At Wednesday’s GOP-Led Hearing — Why Was He Testifying Anyway?,Infectious disease expert Dr. Anthony Fauci declined to answer any questions as he appeared for a committee hearing on Wednesday and faced criticism about his leadership during the COVID-19 pandemic.,blavity.com,2026-07-30,Politics,Tomas Kassahun,https://blavity.com/anthony-fauci-pleads-the-fifth-why-was-he-testifying
Understanding Brain Health: The Risk Factors And Early Warnings Of Dementia,"Learn how to recognize the early signs of dementia, navigate caregiving challenges and find crucial health resources.",blavity.com,2026-07-30,Conditions &Amp; Care,"Dr. Diana Rangaves, PharmD",https://blavity.com/dementia
Department Of Education Wants To Cut Off Funding For Colleges If Graduates Don’t Earn More Than People Without A Degree,"Every year, millions of would-be students must decide whether it is worth pursuing a college or professional degree. Now, the federal government is stepping into that process, implementing a policy that would punish schools that do not improve the incomes of their graduates compared to non-degree holders. While the Department of Education is presenting this… Continue reading Department Of Education Wants To Cut Off Funding For Colleges If Graduates Don’t Earn More Than People Without A Degree",blavity.com,2026-07-30,News,Christopher Rhodes,https://blavity.com/department-education-wants-to-cut-funding-colleges-for-grads-earning-less
R&B Star Nivea Opens Up About Her Battle With Chronic Myeloid Leukemia,"Read about R&B legend Nivea's leukemia diagnosis, her ongoing treatment and her message of gratitude as she focuses on healing.",blavity.com,2026-07-29,Conditions &Amp; Care,"Dr. Diana Rangaves, PharmD",https://blavity.com/nivea-leukemia
Kappa Alpha Psi Alleged Hazing Case: U.S. Secret Service Employee Among 3 Charged,"A U.S. Secret Service employee in Florida is facing multiple felony charges after prosecutors accused him of participating in an alleged fraternity hazing ritual that allegedly left one prospective pledge with kidney failure and other life-threatening injuries. What to know about the charges and the victims’ alleged injuries Marquez Christopher Pinder, 29, was arrested Monday alongside… Continue reading Kappa Alpha Psi Alleged Hazing Case: U.S. Secret Service Employee Among 3 Charged",blavity.com,2026-07-29,News,Jahaura Michelle,https://blavity.com/secret-service-member-charged-in-alleged-fraternity-hazing-case
Black Creek Freedmen Sue Muscogee Nation To Enforce Citizenship Ruling,"Two Black descendants of enslaved people are suing to be recognized as official members of the Native American nation that enslaved their ancestors. The new lawsuit is the latest effort to push the tribe to enforce its membership rules for Black Creek Freedmen, which could lead to thousands of other descendants of enslaved people having… Continue reading Black Creek Freedmen Sue Muscogee Nation To Enforce Citizenship Ruling",blavity.com,2026-07-29,News,Christopher Rhodes,https://blavity.com/black-creek-freedmen-sue-muscogee-nation-to-enforce-citizenship-ruling
Kentucky Gov. Andy Beshear Calls On Mitch McConnell To Prove He Can Still Serve Or Step Down In Letter,"Kentucky Gov. Andy Beshear sent a letter to Sen. Mitch McConnell, R-Ky., demanding that he either address his constituents and prove he is capable of serving in the U.S. Senate or step down. What did Gov. Beshear say in his letter to Mitch McConnell? “Important events are happening in our country right now during your… Continue reading Kentucky Gov. Andy Beshear Calls On Mitch McConnell To Prove He Can Still Serve Or Step Down In Letter",blavity.com,2026-07-29,Politics,Jahaura Michelle,https://blavity.com/andy-beshear-letter-to-mcconnell
